edge_index,distance
0,0.17135912
1,0.6745549
2,0.61698127
3,1.1487557
4,0.7200048
5,0.73193234
6,1.2041054
7,1.0909898
8,1.7482781
9,0.70005876
10,0.16507506
11,0.6303606
12,0.6617839
13,1.2093161
14,0.729476
15,0.7119902
16,1.1966157
17,1.0957795
18,1.7629783
19,0.71056426
20,0.29455122
21,0.5931813
22,0.6652604
23,1.0474986
24,0.5848405
25,0.70159155
26,1.0971924
27,0.94619465
28,1.5253748
29,0.7274039
30,0.22480541
31,0.6778415
32,0.49306098
33,1.0108069
34,0.6909611
35,0.7011689
36,1.1491878
37,1.0060011
38,1.6386942
39,0.66157025
40,0.28775737
41,0.67690444
42,0.45066488
43,0.91423666
44,0.6317236
45,0.67056286
46,1.1056828
47,0.93256086
48,1.5316446
49,0.63417524
