edge_index,distance
0,0.25907984
1,0.37129727
2,0.49739417
3,0.44431403
4,0.362151
5,0.6897935
6,0.5800428
7,0.43946245
8,0.809891
9,0.8517227
10,0.25318307
11,0.58931375
12,0.69009614
13,0.3159416
14,0.38936126
15,0.5455477
16,0.37924466
17,0.3799237
18,0.6267921
19,0.8159578
20,0.4824158
21,0.65248203
22,0.9600402
23,0.43804413
24,0.473168
25,0.538203
26,0.644319
27,0.4775508
28,0.49313524
29,0.9468981
30,0.48795035
31,0.7154729
32,1.1793591
33,0.69037473
34,0.80203414
35,0.9795407
36,1.0680192
37,0.63614655
38,0.5979405
39,1.2178994
40,0.29251716
41,0.2722385
42,0.38710776
43,0.9692487
44,0.07696166
45,0.5301361
46,0.96754575
47,0.527409
48,0.95884717
49,0.82740617
