edge_index,distance
0,0.25078
1,1.9340613
2,1.5240542
3,1.7648338
4,1.9749092
5,1.7043995
6,1.5558105
7,3.0761716
8,2.1183534
9,3.2550895
10,0.4334802
11,2.003221
12,0.55720377
13,1.8412588
14,1.9327934
15,0.8994085
16,1.4454216
17,2.4216232
18,2.0825157
19,2.3199694
20,0.67766947
21,1.6636072
22,0.63247836
23,1.3213172
24,1.7015804
25,0.544733
26,1.6466762
27,1.8309253
28,1.9104903
29,1.7372224
30,0.33006123
31,1.3521217
32,1.4631267
33,0.51340485
34,1.5994936
35,1.491285
36,0.5913121
37,2.363393
38,1.2028358
39,1.9637091
40,0.28043085
41,1.031028
42,0.9371757
43,1.3473982
44,0.9784177
45,1.1568491
46,1.2759889
47,1.7552536
48,1.369327
49,2.230425
