edge_index,distance
0,0.7191477
1,0.22578499
2,0.74864197
3,0.6359253
4,0.5777016
5,0.24452284
6,0.95900404
7,0.5970452
8,0.6925654
9,0.7778781
10,0.32243884
11,0.6585937
12,0.50697917
13,0.8010107
14,0.94628674
15,0.7760114
16,0.9997305
17,0.47168028
18,0.43741143
19,0.85814697
20,0.27906302
21,0.72365695
22,0.47974998
23,0.71377915
24,0.50507164
25,0.20949133
26,0.5791155
27,0.3939167
28,0.88167113
29,0.51167583
30,0.8730594
31,0.91249865
32,1.3428228
33,1.4322861
34,0.68629825
35,1.574463
36,2.1025982
37,0.9624084
38,2.246555
39,2.310917
40,0.49318594
41,0.57644296
42,0.2858053
43,1.070874
44,0.7620851
45,0.4346386
46,0.6033142
47,0.38672122
48,1.2100608
49,0.9622218
