edge_index,distance
0,0.12673695
1,1.8772509
2,2.2510738
3,1.1926484
4,1.9901433
5,2.224995
6,1.3023872
7,2.6335895
8,1.5591316
9,3.2014837
10,0.095522225
11,1.5542325
12,2.192577
13,1.0500414
14,1.6326026
15,2.2024162
16,1.1036679
17,2.368322
18,1.34634
19,3.0406406
20,0.15681356
21,1.9109124
22,1.1049644
23,1.7083031
24,1.7892582
25,1.1526268
26,1.6006751
27,2.503871
28,0.82571405
29,2.6136024
30,0.06737661
31,2.387589
32,1.9528606
33,1.2324613
34,2.4153504
35,1.9036299
36,1.2948054
37,2.7004077
38,1.8041364
39,2.8591373
40,0.11058627
41,1.978613
42,1.3681272
43,1.4528255
44,2.0607085
45,1.3373677
46,1.5632774
47,1.8141652
48,1.3719969
49,2.2543745
