edge_index,distance
0,0.31082934
1,1.3986831
2,1.2691185
3,1.0821995
4,1.5546565
5,1.168758
6,1.1614097
7,2.3759427
8,1.4848484
9,2.2991958
10,0.15805623
11,1.9263415
12,1.0349637
13,1.9725314
14,1.8916337
15,1.166062
16,1.8211292
17,2.7996728
18,2.2226722
19,2.9198592
20,0.46495602
21,1.8812267
22,0.2104542
23,0.9863912
24,2.2453752
25,0.30332333
26,1.0261649
27,2.080003
28,1.5979284
29,1.0546653
30,0.20094736
31,0.6946291
32,1.1354539
33,0.70843095
34,0.890098
35,1.2005192
36,0.53176266
37,1.2438338
38,1.3814577
39,1.5767367
40,0.43061966
41,1.5342351
42,0.5339409
43,1.4646302
44,1.6926266
45,0.3346415
46,1.8838313
47,1.9770331
48,1.5302314
49,1.9693869
