edge_index,distance
0,0.21029043
1,2.182568
2,2.0053835
3,1.0189884
4,2.1796594
5,1.9610506
6,0.97824514
7,1.1136589
8,1.3614354
9,1.0297318
10,0.6138246
11,1.7658488
12,1.3030753
13,0.7952871
14,2.2337518
15,1.8740104
16,1.3751608
17,1.0844523
18,1.292757
19,0.5314232
20,0.45270878
21,2.0291336
22,1.6166449
23,1.0607395
24,2.3537319
25,1.8911979
26,1.2454791
27,1.3803542
28,1.4578093
29,0.6901555
30,0.38220763
31,1.3652743
32,1.4676455
33,0.30924264
34,1.3507296
35,1.6807735
36,0.32554328
37,1.6823318
38,1.1965262
39,1.6108954
40,0.38345516
41,2.1627886
42,2.1230474
43,1.0267493
44,2.0031686
45,1.9194007
46,0.80045736
47,1.7325648
48,1.474961
49,1.197443
