edge_index,distance
0,0.10992511
1,0.82439804
2,1.6707009
3,1.6217659
4,0.8880146
5,1.737232
6,1.6771268
7,0.8506908
8,0.8651953
9,0.5352397
10,0.2164489
11,0.61602557
12,1.324977
13,1.192494
14,0.8153236
15,1.5171283
16,1.4023316
17,0.7120813
18,0.6935939
19,0.5682721
20,0.40008122
21,1.340258
22,2.075145
23,2.981203
24,1.318838
25,2.1248157
26,2.9798281
27,0.9956757
28,2.1843226
29,1.2226908
30,0.41674787
31,1.0833956
32,1.4546556
33,3.2980027
34,1.2844113
35,1.6939654
36,3.315814
37,0.8822487
38,3.0112488
39,2.1468387
40,0.86179245
41,0.46937835
42,0.6725316
43,2.025664
44,1.2468098
45,1.3768342
46,1.9418051
47,0.55936855
48,2.003415
49,1.5934749
