edge_index,distance
0,0.42221984
1,1.8803858
2,1.5466363
3,0.9399539
4,2.1406004
5,1.6799663
6,1.0239543
7,0.93890077
8,2.63439
9,2.3079758
10,0.24027298
11,1.0465652
12,1.1284328
13,2.0508075
14,0.9952433
15,0.9750591
16,1.9931033
17,0.68740267
18,2.587295
19,2.6343453
20,0.40267324
21,1.8301752
22,0.88807374
23,1.3763974
24,1.784404
25,1.1734557
26,1.0083424
27,1.4093492
28,1.8287382
29,1.96972
30,0.34304702
31,1.7256371
32,1.5500388
33,1.4678142
34,1.8576362
35,1.5353364
36,1.3966305
37,0.8410315
38,3.1073904
39,2.7358782
40,0.4225393
41,0.8694294
42,0.62022644
43,1.9326
44,1.0772312
45,0.88327426
46,1.7591958
47,1.3817245
48,1.5460594
49,2.537051
