edge_index,distance
0,0.3336499
1,0.4359748
2,0.39019156
3,0.54967254
4,0.6773529
5,0.59562194
6,0.8008447
7,0.100509435
8,0.123783015
9,0.21603301
10,0.3429483
11,0.4849898
12,0.30887255
13,0.72509944
14,0.5393181
15,0.38881537
16,0.6686345
17,0.19633642
18,0.2628797
19,0.4253584
20,0.40854472
21,1.0214596
22,0.76809394
23,1.1650319
24,1.0531207
25,0.7991622
26,1.2224785
27,0.2611584
28,0.17494556
29,0.4254012
30,0.5592388
31,0.9220349
32,0.7191497
33,0.9091689
34,0.861271
35,0.7180359
36,0.96055955
37,0.21409616
38,0.19459637
39,0.24669994
40,0.5990919
41,1.0716015
42,0.83336926
43,1.1456554
44,1.096799
45,0.8798609
46,1.2133777
47,0.24311744
48,0.1307248
49,0.34019223
