edge_index,distance
0,0.3786605
1,1.2783794
2,1.2146436
3,1.750321
4,1.4973544
5,1.3029195
6,1.9096804
7,0.61758184
8,2.7145553
9,2.8689566
10,0.4295306
11,0.95484364
12,0.90709925
13,1.9509714
14,1.2631698
15,1.1521584
16,2.0432093
17,0.5712765
18,2.6419346
19,2.7483504
20,0.4946853
21,2.0252523
22,1.42278
23,1.0798979
24,2.0840006
25,1.1610204
26,1.3021337
27,1.3529288
28,1.3641696
29,1.6289436
30,0.25642425
31,1.9025732
32,1.3046566
33,0.35282418
34,2.1240025
35,1.5458854
36,0.45431972
37,0.8115464
38,2.046312
39,1.456245
40,0.9194112
41,0.84161925
42,0.3556357
43,1.8516928
44,0.9952154
45,1.0995167
46,1.8541559
47,0.61926
48,1.606282
49,1.7734902
