edge_index,distance
0,0.21029326
1,0.6142632
2,1.958538
3,2.0773249
4,0.55398095
5,1.910234
6,2.188613
7,1.3667234
8,1.936476
9,2.0146537
10,0.23472041
11,0.61006033
12,2.1368413
13,1.8453556
14,0.64724964
15,2.199043
16,2.0270882
17,1.5601662
18,1.7786572
19,1.925175
20,0.43899134
21,0.92376626
22,2.7069552
23,2.578128
24,1.3165536
25,3.1184216
26,2.9117687
27,1.8751287
28,2.3142018
29,1.8773189
30,0.39346778
31,0.4442737
32,1.9014245
33,1.4973336
34,0.8166876
35,2.1938267
36,1.5363383
37,1.5842987
38,1.4835907
39,1.4914899
40,0.36613524
41,0.5941516
42,1.9257196
43,2.0942533
44,0.5896743
45,1.9840306
46,2.2310343
47,1.4437419
48,1.9457573
49,1.8237524
