edge_index,distance
0,0.26335633
1,1.7447366
2,1.8274575
3,1.9368633
4,1.7039505
5,1.7886066
6,1.9433028
7,1.7145885
8,0.67754894
9,2.2867799
10,0.42500475
11,1.7811652
12,1.8660243
13,1.7368047
14,1.580447
15,1.5044448
16,1.6812395
17,1.7797453
18,0.73036647
19,2.3508239
20,0.9229102
21,1.2160999
22,0.42508724
23,1.9391882
24,1.8733587
25,1.2888987
26,2.5565445
27,1.1919235
28,0.7670285
29,1.8650393
30,0.34489036
31,2.124897
32,1.7321552
33,2.667332
34,1.9846419
35,1.765602
36,2.508911
37,1.2308576
38,0.77698135
39,1.879074
40,0.69181764
41,0.37025487
42,0.75380653
43,0.8587547
44,0.9953498
45,0.78333664
46,1.406241
47,0.9448398
48,0.61498165
49,1.5474762
