edge_index,distance
0,0.18464045
1,2.0826263
2,1.3901489
3,1.5939579
4,2.155494
5,1.4082495
6,1.4123055
7,0.9269146
8,3.0182226
9,2.092977
10,0.42087606
11,3.1318173
12,1.7536579
13,1.8812052
14,2.9434617
15,1.562262
16,1.5737433
17,1.6464727
18,2.8783805
19,1.3889353
20,0.90487444
21,3.130423
22,1.5081124
23,1.9301251
24,2.4791627
25,1.1981474
26,1.5215064
27,1.779538
28,1.800894
29,0.65964043
30,0.5726443
31,3.3352408
32,1.6052349
33,1.8590975
34,3.0729868
35,1.2433707
36,1.3418592
37,1.8995221
38,2.703816
39,1.117974
40,0.3423654
41,1.9516394
42,0.8909391
43,1.1468182
44,2.2069523
45,1.1080039
46,1.3378884
47,1.2225149
48,2.0634067
49,1.6287446
