edge_index,distance
0,0.17787896
1,0.62595594
2,1.4616547
3,0.33885723
4,0.66937494
5,1.4341851
6,0.31529224
7,1.6201115
8,0.7772213
9,1.5304596
10,0.06600154
11,1.3678335
12,1.291405
13,0.59256965
14,1.4145206
15,1.2517061
16,0.573994
17,2.6510425
18,1.396849
19,1.5689291
20,0.11377014
21,1.2648318
22,0.75665385
23,0.4043517
24,1.2670293
25,0.76342267
26,0.47123182
27,1.9949265
28,1.2104015
29,1.0387752
30,0.08550788
31,0.5258308
32,1.4466618
33,0.19183233
34,0.4711224
35,1.3958585
36,0.2114657
37,1.2144718
38,0.6249315
39,1.3602087
40,0.10180304
41,0.94281137
42,1.4402875
43,0.42230192
44,1.0136702
45,1.4081701
46,0.48551708
47,2.3809438
48,0.97183293
49,1.5906799
