edge_index,distance
0,0.4863321
1,0.50772303
2,0.48884112
3,0.5476706
4,0.799236
5,0.8698298
6,0.9057392
7,0.39875823
8,0.28594494
9,0.2162966
10,0.5384963
11,0.49865723
12,0.36979342
13,0.31751692
14,0.8549171
15,0.8832448
16,0.8222543
17,0.4506739
18,0.26090017
19,0.21210848
20,0.5515366
21,0.4417993
22,0.34425393
23,0.27702895
24,0.80036116
25,0.887128
26,0.80395126
27,0.5139362
28,0.3140369
29,0.22263572
30,0.5254764
31,0.6460504
32,0.6892878
33,0.5397219
34,1.1179795
35,1.0535157
36,0.73717195
37,0.30350816
38,0.5662123
39,0.36764997
40,0.44159415
41,0.5947306
42,0.57550424
43,0.433422
44,1.0257295
45,0.97839004
46,0.782689
47,0.4593448
48,0.5844091
49,0.23173268
