edge_index,distance
0,0.29484674
1,1.5932901
2,1.7930709
3,1.5000427
4,1.7595282
5,1.8920704
6,1.5940336
7,2.6674864
8,0.7797686
9,3.0788019
10,0.3939263
11,1.8614346
12,2.2155838
13,1.60249
14,1.7200232
15,2.104065
16,1.4621124
17,3.116353
18,0.6469752
19,3.204804
20,0.2705963
21,2.1041732
22,2.8972542
23,1.6557297
24,1.8845346
25,2.726748
26,1.4712498
27,2.505981
28,0.9634906
29,3.167591
30,1.5347061
31,1.9019951
32,1.8377851
33,0.9077331
34,1.7426218
35,2.8056784
36,1.1381271
37,1.9210181
38,1.2905759
39,2.128478
40,0.477433
41,1.0081551
42,1.9150037
43,1.1312398
44,1.2144475
45,1.9992268
46,1.2411044
47,2.2914917
48,0.7627944
49,2.6095471
