edge_index,distance
0,0.34451905
1,1.7676703
2,2.3598335
3,2.54284
4,1.9463104
5,2.2732275
6,2.52951
7,1.8254482
8,1.5409026
9,1.0144557
10,0.5933215
11,1.9151781
12,2.2004907
13,2.0166433
14,1.3873969
15,1.6749731
16,1.503563
17,1.2996153
18,0.87506306
19,0.49964887
20,0.5786405
21,1.7325413
22,2.5858638
23,3.4702854
24,1.9507182
25,2.4677145
26,3.4137237
27,1.6700821
28,2.2340236
29,0.98747087
30,0.64191955
31,1.153734
32,1.6956637
33,2.8077946
34,0.9401578
35,1.07519
36,2.1832607
37,1.5230279
38,2.363447
39,1.1345776
40,0.7219446
41,1.2434975
42,1.6726755
43,2.6630878
44,1.1784022
45,1.5725873
46,2.3420167
47,1.582255
48,2.1544378
49,1.1373014
