edge_index,distance
0,0.21639183
1,1.6585293
2,1.3273208
3,1.3584268
4,1.6663778
5,1.4337155
6,1.3039627
7,2.400675
8,0.8387687
9,2.5273516
10,0.286491
11,1.9578598
12,1.4567415
13,1.590468
14,2.090459
15,1.5015128
16,1.6474032
17,2.6258175
18,0.8771605
19,2.6965342
20,0.592226
21,1.8190207
22,2.0247765
23,0.76642805
24,1.7312998
25,2.227782
26,0.69993484
27,2.1719356
28,1.1687278
29,2.2146332
30,0.9517453
31,1.1297578
32,0.7831094
33,1.594245
34,0.896467
35,1.4840387
36,0.8595242
37,1.1524886
38,0.9703266
39,2.0568957
40,0.9177432
41,2.5126364
42,1.5881276
43,2.1085305
44,2.1376417
45,1.2592864
46,1.288522
47,1.9745789
48,1.4852501
49,1.8279371
