edge_index,distance
0,0.3848917
1,1.3618977
2,0.7227095
3,0.9542145
4,1.3412167
5,0.48921448
6,0.58770627
7,1.0352372
8,1.3539886
9,0.43989637
10,0.36086205
11,0.7066935
12,0.541332
13,0.7254952
14,0.88139796
15,0.631067
16,0.37355918
17,0.29369196
18,1.1065769
19,0.83198494
20,0.5104177
21,1.262295
22,1.114726
23,1.169233
24,1.0418985
25,0.6550484
26,0.73005515
27,0.7942263
28,0.678466
29,0.20960708
30,0.27497882
31,1.0975951
32,0.777949
33,0.98430115
34,1.3578286
35,1.003345
36,1.0216603
37,0.69611347
38,1.5128255
39,0.82405746
40,0.35712364
41,0.89898825
42,0.7268808
43,0.7771204
44,1.0434012
45,0.73774034
46,0.43619096
47,0.52864796
48,1.181354
49,0.7036889
