edge_index,distance
0,0.1776023
1,2.304752
2,0.8193809
3,1.7825133
4,2.393449
5,0.7248219
6,1.773904
7,2.478079
8,1.6534683
9,1.3206108
10,0.19359088
11,1.9370043
12,0.6545702
13,1.4961073
14,2.1232605
15,0.57725376
16,1.5020752
17,2.1132529
18,1.4678966
19,1.1325321
20,0.3894527
21,1.9345883
22,1.267759
23,1.7049124
24,1.840681
25,1.0641335
26,1.5874563
27,2.412348
28,1.8360718
29,0.8933769
30,0.29234865
31,2.161007
32,0.72839445
33,1.7859744
34,2.3382676
35,0.7750212
36,2.0214062
37,2.6331
38,2.284665
39,1.4660165
40,0.32465655
41,2.703248
42,0.7207913
43,1.853578
44,2.8906884
45,0.6163467
46,1.9852754
47,2.7912593
48,1.588511
49,1.6474011
