edge_index,distance
0,0.28540555
1,1.2867149
2,0.7333531
3,0.90349376
4,1.0653337
5,0.6359861
6,0.65246063
7,0.8456765
8,0.78060013
9,0.46741098
10,0.13968372
11,1.3377092
12,0.81927806
13,0.87997085
14,1.3266091
15,0.7691371
16,0.8168142
17,0.8399281
18,0.62284535
19,0.35696453
20,0.09348089
21,1.0396497
22,0.94471395
23,0.72598654
24,1.0848476
25,1.0130671
26,0.79708654
27,0.6226432
28,0.5674244
29,0.24145076
30,0.048217658
31,1.5249074
32,0.8634015
33,0.89564395
34,1.5006891
35,0.8312058
36,0.8671936
37,0.9242172
38,0.65225416
39,0.38148162
40,0.26239815
41,0.73742825
42,0.7286096
43,0.77444
44,0.5893564
45,0.518845
46,0.5451247
47,0.7506317
48,0.5873006
49,0.22290577
