edge_index,distance
0,0.2455192
1,0.5170934
2,0.5231781
3,0.5626228
4,0.5445009
5,0.38877314
6,0.48295778
7,0.4992128
8,0.44312572
9,0.57210606
10,0.17714879
11,0.8644231
12,0.6930101
13,0.8648764
14,0.8872951
15,0.55149096
16,0.78396755
17,0.9580258
18,0.67051494
19,0.45750892
20,0.32632086
21,0.99425876
22,0.51115316
23,0.9985782
24,0.95284736
25,0.6128395
26,1.1268615
27,0.70955837
28,0.6914156
29,0.5469996
30,0.43351543
31,0.27050745
32,0.5431623
33,0.28106767
34,0.5334555
35,0.14220458
36,0.39579222
37,0.5754887
38,0.18385713
39,0.42523813
40,0.15112387
41,0.5850049
42,0.46870852
43,0.8235774
44,0.56823134
45,0.5160722
46,0.9088466
47,0.7617265
48,0.75160515
49,0.597584
