edge_index,distance
0,0.5176024
1,2.1326182
2,2.4583411
3,1.9286206
4,1.7882069
5,2.2942774
6,1.8103998
7,1.1773924
8,2.005473
9,2.9547794
10,0.6187706
11,2.1905472
12,2.4722881
13,2.4740348
14,2.0239534
15,2.3657053
16,2.178411
17,0.74304235
18,2.1664932
19,2.766093
20,1.2129849
21,1.8171475
22,2.4970443
23,2.3559508
24,0.7953855
25,1.2899587
26,2.035748
27,0.9111099
28,1.5123849
29,2.2729383
30,1.087706
31,1.7886257
32,2.4507713
33,2.2846532
34,1.3981034
35,1.7694564
36,2.0198638
37,0.81362164
38,1.0172436
39,1.2857026
40,0.9668826
41,1.37957
42,1.9163216
43,2.3202283
44,2.0099425
45,2.4476318
46,2.2430272
47,0.69600374
48,1.792256
49,1.9591088
