edge_index,distance
0,5.9723043
1,11.088342
2,10.983732
3,8.415725
4,15.6024475
5,8.888382
6,3.505257
7,20.772669
8,18.671915
9,10.444663
10,1.5937452
11,3.0020745
12,5.2865868
13,3.0756052
14,2.542719
15,4.582723
16,1.791118
17,4.177735
18,2.7951622
19,3.2858496
20,3.7704108
21,1.6715374
22,2.1554275
23,2.1387231
24,2.2521293
25,5.730078
26,2.4917836
27,3.5161078
28,1.8119525
29,4.117294
30,5.4160504
31,9.401311
32,8.894135
33,7.383704
34,13.062434
35,7.716941
36,2.6875877
37,17.582588
38,15.183646
39,9.327453
40,2.5703042
41,2.5463815
42,4.7892494
43,2.7136016
44,2.690746
45,5.5578785
46,1.2180994
47,4.6231155
48,2.3996654
49,4.8077183
