edge_index,distance
0,0.6097656
1,2.2904248
2,1.3345767
3,1.4333497
4,2.4970489
5,1.8521656
6,1.8516198
7,2.4710824
8,1.8271655
9,1.0354902
10,0.37155083
11,2.058687
12,1.4331285
13,1.584409
14,2.1014566
15,1.7331643
16,1.7821193
17,2.1455803
18,1.6501344
19,0.92414486
20,1.3446143
21,2.2557297
22,1.9637084
23,0.9576393
24,3.1087868
25,3.2155514
26,1.8367367
27,2.7526026
28,1.5751889
29,1.9146196
30,0.8876123
31,2.423227
32,1.4689113
33,0.6633938
34,2.8013341
35,2.2558498
36,1.0154369
37,2.2714667
38,2.6528451
39,1.3569561
40,1.1148111
41,1.85488
42,2.4652138
43,1.354029
44,2.711612
45,2.9906437
46,1.6393877
47,2.1856148
48,2.0667412
49,1.3912872
