edge_index,distance
0,0.392301
1,0.37255824
2,0.29531667
3,0.8210878
4,0.65118355
5,0.32235023
6,0.78565574
7,0.54769146
8,1.1828619
9,0.6862189
10,0.32773224
11,0.5770755
12,0.12223842
13,1.0004654
14,0.8686646
15,0.44199252
16,0.68521315
17,0.49663076
18,1.4726429
19,1.1176574
20,0.863632
21,0.91145325
22,0.6237647
23,0.98594815
24,0.5993395
25,0.56534964
26,1.8308196
27,0.3793424
28,1.8217459
29,1.5143778
30,0.6607133
31,0.35016474
32,0.82421464
33,0.90372723
34,0.35269967
35,0.73367786
36,0.98187286
37,0.69575185
38,0.8755252
39,0.29277608
40,0.41366795
41,0.30909434
42,0.3508606
43,0.8186461
44,0.5505401
45,0.2713895
46,0.84124935
47,0.57938755
48,1.1138667
49,0.59618217
