edge_index,distance
0,0.2626013
1,0.48413375
2,0.39954498
3,0.9886746
4,0.3729344
5,0.25013202
6,0.88518405
7,0.15196215
8,0.7184934
9,0.79913384
10,0.44769987
11,0.50642926
12,0.76909524
13,1.0600959
14,0.6867379
15,0.9334091
16,1.0357671
17,0.2984429
18,0.6129813
19,0.49713776
20,0.284218
21,0.2489498
22,0.47003877
23,0.578871
24,0.34013733
25,0.58712786
26,0.62243503
27,0.25724936
28,0.34092498
29,0.1801963
30,0.39537796
31,0.5327426
32,0.4767529
33,1.2519752
34,0.37172076
35,0.26539835
36,0.8817637
37,0.108827606
38,0.84647995
39,0.8312573
40,0.5238879
41,0.412059
42,0.806129
43,0.8066524
44,0.59103346
45,1.0035609
46,0.82223964
47,0.43747488
48,0.4013916
49,0.33101293
