edge_index,distance
0,0.6571125
1,1.5237283
2,2.181423
3,2.3987665
4,1.426445
5,2.0440047
6,2.2156372
7,1.009637
8,2.201185
9,1.6986456
10,0.8509677
11,2.2268398
12,2.8100064
13,2.4263763
14,1.7479839
15,2.335253
16,2.1247678
17,0.8264494
18,2.0894945
19,1.9076077
20,1.0120353
21,1.1076123
22,2.5648265
23,2.6109416
24,1.9010087
25,3.2734988
26,2.6665118
27,1.4720277
28,2.0297856
29,2.010582
30,0.97949743
31,0.5407257
32,1.5001897
33,1.7168717
34,1.061237
35,2.1990638
36,2.5225596
37,1.2828947
38,1.8429794
39,1.5311625
40,1.6519468
41,1.0443665
42,1.7224246
43,1.8860551
44,1.4757485
45,1.5842626
46,2.0671265
47,0.91754645
48,2.1250463
49,1.840306
