edge_index,distance
0,0.40014884
1,0.6510756
2,1.6365697
3,1.8143742
4,0.985155
5,2.011688
6,1.9299188
7,1.3585453
8,2.2041407
9,1.9204456
10,0.16183986
11,0.5164559
12,1.3410938
13,2.065161
14,0.5722161
15,1.4638205
16,2.1680646
17,1.0936307
18,2.3491452
19,1.958712
20,0.37146187
21,0.6656561
22,1.6228507
23,2.5245743
24,0.9838536
25,1.9761223
26,2.7233038
27,1.1299748
28,2.6859772
29,2.596209
30,0.21452107
31,0.2376966
32,1.1971017
33,2.546249
34,0.2206331
35,1.1133679
36,2.642044
37,0.9937205
38,2.6253064
39,2.8346558
40,0.23991191
41,0.661202
42,1.6084585
43,1.9645612
44,0.6759153
45,1.629667
46,2.1605928
47,0.9563249
48,2.0233448
49,2.329648
