edge_index,distance
0,0.31161088
1,0.28736612
2,0.48556945
3,0.2166436
4,0.48461455
5,0.32820565
6,0.5084401
7,0.45426717
8,0.394931
9,0.6966676
10,0.31564966
11,0.28590953
12,0.46113726
13,0.25221252
14,0.4707504
15,0.33885798
16,0.52691364
17,0.42345223
18,0.4041244
19,0.69822204
20,0.23628986
21,0.26998466
22,0.4174625
23,0.18448229
24,0.39036185
25,0.21339451
26,0.39757782
27,0.45547912
28,0.376542
29,0.5955771
30,0.31936416
31,0.3137818
32,0.55915886
33,0.14838529
34,0.5258695
35,0.44608504
36,0.38651678
37,0.4735472
38,0.42808342
39,0.6864905
40,0.19811936
41,0.24483323
42,0.18886463
43,0.201403
44,0.19191058
45,0.25265014
46,0.32577935
47,0.37109283
48,0.24121776
49,0.38519508
