edge_index,distance
0,0.46894962
1,1.5240669
2,1.147153
3,1.21582
4,1.4352065
5,0.7383991
6,1.2979137
7,1.1515914
8,0.50929594
9,1.292323
10,0.34144068
11,1.5285982
12,1.0542
13,1.1956162
14,1.4853015
15,0.7617246
16,1.260953
17,1.2837048
18,0.4767481
19,1.312142
20,0.18716583
21,1.4626791
22,0.34262696
23,0.99626136
24,1.3642339
25,0.47684127
26,0.8934981
27,1.5301821
28,0.5123526
29,1.1045197
30,0.19494098
31,1.351109
32,0.55125666
33,0.9717624
34,1.2297871
35,0.4621122
36,0.88082993
37,1.2822957
38,0.48115322
39,1.0738572
40,0.2697252
41,0.9456877
42,0.42416984
43,0.6354795
44,0.8794459
45,0.693758
46,0.61026657
47,1.1543856
48,0.3246169
49,0.85668623
