edge_index,distance
0,0.13111423
1,0.78701323
2,1.4994899
3,1.1236548
4,0.7372225
5,1.5813732
6,1.1427091
7,1.7649585
8,0.8460565
9,1.1204402
10,0.13671507
11,0.6689578
12,1.4186314
13,0.9087906
14,0.6332531
15,1.4949828
16,0.9347876
17,1.4395361
18,0.62728566
19,1.0526333
20,0.21699707
21,0.74137825
22,1.4316657
23,1.0414581
24,0.6854117
25,1.6075326
26,1.0862507
27,1.5975848
28,0.77234685
29,0.991116
30,0.62559646
31,0.3309765
32,0.8164482
33,0.47403097
34,0.81508
35,1.3274041
36,0.30132574
37,0.9949385
38,0.653012
39,1.1666304
40,0.100432
41,0.8104651
42,1.7809358
43,1.078796
44,0.7597867
45,1.8036041
46,1.0527437
47,2.0756795
48,0.8678524
49,1.3170526
