edge_index,distance
0,0.11006574
1,0.36648592
2,0.49528715
3,0.94616216
4,0.4292461
5,0.48526505
6,0.94824934
7,0.38742432
8,0.7094608
9,0.47144458
10,0.24180573
11,0.37235743
12,0.8774819
13,0.6301883
14,0.51071167
15,1.0157607
16,0.7520971
17,0.5760034
18,0.37537512
19,0.39598694
20,0.60108924
21,0.45518956
22,1.1230143
23,0.541325
24,0.99657774
25,1.6648443
26,0.86941916
27,0.67574704
28,0.359082
29,0.86734676
30,0.6188254
31,0.69647396
32,1.3106244
33,0.38365644
34,0.5515973
35,1.321994
36,0.8325142
37,0.78074616
38,0.61236995
39,1.0764023
40,0.5895266
41,0.49353844
42,1.1682081
43,0.65296185
44,1.0614563
45,1.7164258
46,1.0773932
47,0.6791327
48,0.39905173
49,0.7175961
