edge_index,distance
0,0.2764555
1,1.4176297
2,0.75267875
3,1.4978648
4,1.6672556
5,0.878408
6,1.7557111
7,1.7272309
8,0.36760238
9,1.8651811
10,0.1686238
11,1.1094089
12,0.9227896
13,0.6924767
14,1.2725197
15,0.87578994
16,0.85757285
17,1.6002197
18,0.44510558
19,1.2855197
20,0.20547393
21,1.4796225
22,0.7650593
23,2.7708526
24,1.6077285
25,0.85478824
26,2.905588
27,1.8684238
28,1.3848789
29,3.2474272
30,0.21181792
31,1.5702391
32,0.83619976
33,1.65839
34,1.740163
35,0.9596582
36,1.8229411
37,1.7994109
38,0.37892193
39,1.9000196
40,0.13194829
41,0.45564613
42,0.80694366
43,0.80004734
44,0.40577543
45,0.73495704
46,0.87566376
47,0.4328503
48,1.2365376
49,1.590415
