episode_number,reward,actual_snd,target_snd,eval_iter
0,0.49041591718792915,0.38400842018425463,0.38873446371295667,0
1,1.9963739614933729,0.3944691105931997,0.42091711664322723,0
2,3.214525313079357,0.5306550031155348,0.5377266203815286,0
3,3.888101712465286,0.6266697257757187,0.6530187265439467,0
4,4.074996268749237,0.6893023402243853,0.7069273516535759,0
5,4.320119321346283,0.7321406339108943,0.7463387289259693,0
6,4.281914018392563,0.7696987022459507,0.801797725584196,0
7,4.257575162053108,0.7942180263996125,0.8128715455532074,0
8,4.450442879796028,0.8090173256397247,0.8365529549236481,0
9,4.625796115398407,0.8579767912626266,0.8713482594003483,0
10,4.7426794785261155,0.8977023078501225,0.9220257184157769,0
11,4.8249806523323056,0.9293645656108857,0.9374750607892086,0
12,4.847791193723679,0.9277610178291797,0.9402799510840073,0
13,4.915255098342896,0.9380206289887428,0.9488905822789228,0
14,5.059698369503021,0.9463914573192597,0.9714662565125359,0
15,4.964950724840164,0.9525566536188126,0.965977667581917,0
16,5.095651097297669,0.9717971965670585,0.9886835715145741,0
17,5.109071375131607,0.9903641483187675,1.023439367407376,0
18,4.955723755359649,1.0091691172122956,1.0252455512307725,0
19,5.14488058924675,1.014363296031952,1.0377109635109996,0
20,5.085205897092819,1.03888730853796,1.053309142589569,0
21,5.087949321269989,1.046514758169651,1.0671319082840203,0
22,5.0177509975433345,1.0653510299324989,1.0846465432418968,0
23,5.007115746736527,1.0908820289373398,1.1095943275250886,0
24,5.014020237922669,1.103622832596302,1.1237819429599878,0
25,5.0904491984844205,1.122945741415024,1.1324701967338722,0
26,5.085922367572785,1.1377608796954155,1.1746469453438042,0
27,5.089511139392853,1.1750147178769113,1.1929413687949086,0
28,5.206278499364853,1.2132755330204963,1.2438052366388606,0
29,5.159068592786789,1.2422683441638946,1.2498772411296766,0
30,5.122590389251709,1.2534232884645462,1.2793748621102219,0
31,5.027015030384064,1.2702683475613594,1.3002823259412628,0
32,5.166684918403625,1.285745664536953,1.3268569848116707,0
33,5.120888148546219,1.3111143454909324,1.3370743161439895,0
34,5.060543973445892,1.3240609928965568,1.3408081924915314,0
35,5.146880404949188,1.3339051339030266,1.3809917480387586,0
36,4.988490937948227,1.386495128571987,1.4075917823370112,0
37,5.088124109506607,1.4113271266222,1.4463921006844969,0
38,4.984726419448853,1.4454072403907776,1.4762185215950012,0
39,4.983270850777626,1.4740476730465888,1.4811012773559644,0
40,5.030023709535599,1.4871814787387847,1.5048955161162096,0
41,4.96627293586731,1.494145812690258,1.5158327169470736,0
42,5.004841967821121,1.5221377310156823,1.531171995050767,0
43,4.992846473455429,1.5108704575896263,1.540164630000408,0
44,5.008852935433388,1.5312988793849944,1.5696881202359994,0
45,5.10001889526844,1.5418748077750206,1.5602353489800784,0
46,5.069781361222267,1.503347989320755,1.512754931244799,0
47,5.001374237537384,1.4878302842378617,1.4941692485987583,0
48,4.88982491850853,1.475024055838585,1.4756039774417877,0
49,5.043940488398075,1.4459348613023757,1.4643356441294106,0
50,4.8380134066939355,1.4396209746599198,1.452335482498385,0
51,4.7264560303092,1.427594382762909,1.4350663458599764,0
52,4.874428111761809,1.3952835136651993,1.4099592307601312,0
53,4.70996792703867,1.4196290954947473,1.4094050049781799,0
54,4.532451836019755,1.3992239806056022,1.401931895477937,0
