episode_number,reward,actual_snd,target_snd,eval_iter
0,0.10394166465848684,0.8023707537353039,0.747920353670378,0
1,1.5195728027820588,0.7842379403114319,0.7667399962371755,0
2,1.3838562670350074,0.8557925128936767,0.7727204440413294,0
3,3.1875858870893716,0.7771767020225525,0.7968197252463411,0
4,3.81944607257843,0.8449337740242481,0.8717294274007573,0
5,4.228556370437145,0.9336712977290154,0.9511111493062492,0
6,4.492980042695999,0.9937315306067467,1.0553045232644243,0
7,4.399961053207517,1.0213801065087318,1.0042117793681258,0
8,4.432781620249152,0.9768827825784683,1.0126918874405049,0
9,3.8844691816717387,1.0559917572140693,1.0155846551060677,0
10,4.420274932235479,1.0171471223235131,1.0216851970096967,0
11,4.637245487868785,1.0571308648586273,1.0511405814667136,0
12,4.620964089632034,1.0970938327908515,1.0916243371154581,0
13,4.708089910149575,1.1164364212751388,1.1248206490507493,0
14,4.809678662419319,1.1532388737797736,1.1583088422721286,0
15,4.675315288305282,1.1817212069034577,1.1854729506204713,0
16,4.71683346837759,1.1934406185150146,1.1947660564195992,0
17,4.9538942751288415,1.2127968722581863,1.2159866947753757,0
18,5.000964361429214,1.2329488322138786,1.273030693813037,0
19,4.929542979001999,1.2748537668585778,1.2784277842158362,0
20,5.0502721136808395,1.281448499262333,1.3016417833666007,0
21,4.976128888130188,1.3234814050793648,1.341178778239659,0
22,5.093764540553093,1.347281540632248,1.3643483808897074,0
23,5.043591086864471,1.372379226088524,1.4146345317965807,0
24,5.051330169439316,1.450845713019371,1.47214256675498,0
25,5.189793450832367,1.4812086936831474,1.509773976015813,0
26,5.036248700618744,1.5117390179634094,1.5577064874351665,0
27,5.113322720527649,1.5293551284074782,1.5652227743158063,0
